Theta1,Theta2,Omega1,Omega2
-1,-39,-1.591290723656967,31.930874635649584
-1,-40,-1.246930788276175,30.95086179761153
-1,-41,-0.9166057418711283,30.019655876191912
0,-39,-1.9084820886390106,32.79175714134286
0,-40,-1.5579511574190674,31.794182285995344
0,-41,-1.221706623066979,30.84628897653763
1,-39,-2.2250921114889737,33.64265096015
1,-40,-1.8684969595472023,32.62781795845767
1,-41,-1.5264353605905037,31.66352599844638
1,-42,-1.1978403815693013,30.746197955676386
2,-39,-2.5410243497268286,34.48329690157101
2,-40,-2.1784735994009203,33.45151488149709
2,-41,-1.830699131116281,32.471118003604545
2,-42,-1.496616192667037,31.53846940086762
2,-43,-1.1752398653380083,30.650271816301817
3,-39,-2.8561825673322954,35.31343889670858
3,-40,-2.487786655092911,34.265022149051504
3,-41,-2.1344052529523365,33.26881899166402
3,-42,-1.7949361199744374,32.32113392275932
3,-43,-1.468378458261994,31.41861652589613
3,-44,-1.1538213529493548,30.558222299145907
4,-39,-3.1704707640592913,36.132824076269266
4,-40,-2.7963419068700324,35.06809195892659
4,-41,-2.437461214271898,34.05638597517636
4,-42,-2.0927092923517545,33.0939531141563
4,-43,-1.7610697688830912,32.17739082053768
4,-44,-1.4416175534228168,31.303607214119353
4,-45,-1.1335086611609546,30.46978661560794
5,-39,-3.4837932046785176,36.941202847589786
5,-40,-3.104045365813548,35.86047968827876
5,-41,-2.7397747012933715,34.83357905360902
5,-42,-2.3898450052060976,33.85669156684639
5,-43,-2.0532246405927195,32.926363570225924
5,-44,-1.7289746232242436,32.03945674709054
5,-45,-1.4162382926173438,31.193113129908326
5,-46,-1.114232328675903,30.384724674684065
6,-39,-3.7960544481393397,37.73832897066548
6,-40,-3.410803302469076,36.641943968129596
6,-41,-3.041253626400044,35.60016148642152
6,-42,-2.6862527481209,34.609116943308074
6,-43,-2.344754080186791,33.66530663060582
6,-44,-2.015805030606485,32.765546751163356
6,-45,-1.6985365241703925,31.906937919774858
6,-46,-1.3921538889052496,31.08683429666379
6,-47,-1.095928904258089,30.302816663691253
7,-39,-4.107159376642048,38.52395963315729
7,-40,-3.7165222753974763,37.412246756889274
7,-41,-3.3418061561908265,36.355899765178734
7,-42,-2.981842232426314,35.3510000474828
7,-43,-2.6355692849738945,34.39399491246289
7,-44,-2.302021404248858,33.4816560522888
7,-45,-1.9803173650440848,32.61104354726158
7,-46,-1.6696513855739414,31.77947456777182
7,-47,-1.369285064488869,30.984496074103284
7,-48,-1.0785403239882676,30.223860931180155
8,-39,-4.417013224611687,39.297855524354866
8,-40,-4.021109159638032,38.17115341286623
8,-41,-3.6413407394536272,37.10056368467996
8,-42,-3.2765234187019727,36.082114894590205
8,-43,-2.9255816698254575,35.112206450287495
8,-44,-2.5875365598713143,34.18756651663662
8,-45,-2.261494982064621,33.305215534973534
8,-46,-1.946640290256309,32.46243450307183
8,-47,-1.6422241272244462,31.6567373068576
8,-48,-1.347559272639034,30.88584651311155
8,-49,-1.0620133649343722,30.147672128856016
9,-39,-4.7255216075645405,40.05978090807285
9,-40,-4.324471175075204,38.91843276574135
9,-41,-3.939766135052734,37.83392641308161
9,-42,-3.5702065442039017,36.80223877996545
9,-43,-3.214702894159654,35.81972246988778
9,-44,-2.8722635267916075,34.8830631170411
9,-45,-2.5419837258060265,33.989242431398665
9,-46,-2.2230362294487374,33.13550606635155
9,-47,-1.9146629525822914,32.31933559076256
9,-48,-1.6161677416812557,31.53842396699714
9,-49,-1.3269100150950544,30.79065403420311
9,-50,-1.0462991645461324,30.07407957623509
10,-39,-5.032590550858575,40.80950369445844
10,-40,-4.626515914700357,39.65385718698472
10,-41,-4.2369914397217325,38.555764560992365
10,-42,-3.8628021502071017,37.51115234689701
10,-43,-3.502844888850759,36.51632745503029
10,-44,-3.156115574417397,35.567933998500294
10,-45,-2.8216981566798043,34.66291587531802
10,-46,-2.4987550102706413,33.7984842334926
10,-47,-2.1865185530570193,32.972089091962125
10,-48,-1.8842839103731936,32.181394511422816
10,-49,-1.59140247561107,31.424256808055617
10,-50,-1.307276241582557,30.698705384277083
10,-51,-1.0313527967615537,30.002925817453306
11,-39,-5.338126518319015,41.546795510688135
